Domain_code,Domain,Area_code,Area,Element _code,Element,Crop _code,Crop,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,114,Kenya,5510,Production,366,Artichokes,2016,2016,tonnes,18,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,366,Artichokes,2017,2017,tonnes,19,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,366,Artichokes,2018,2018,tonnes,19,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,366,Artichokes,2019,2019,tonnes,19,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,367,Asparagus,2016,2016,ha,72,,Official data
QC,Crops,114,Kenya,5312,Area harvested,367,Asparagus,2017,2017,ha,53,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,367,Asparagus,2018,2018,ha,44,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,367,Asparagus,2019,2019,ha,45,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5419,Yield,367,Asparagus,2016,2016,hg/ha,55833,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,367,Asparagus,2017,2017,hg/ha,54340,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,367,Asparagus,2018,2018,hg/ha,59773,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,367,Asparagus,2019,2019,hg/ha,59778,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,367,Asparagus,2016,2016,tonnes,402,,Official data
QC,Crops,114,Kenya,5510,Production,367,Asparagus,2017,2017,tonnes,288,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,367,Asparagus,2018,2018,tonnes,263,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,367,Asparagus,2019,2019,tonnes,269,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,572,Avocados,2016,2016,ha,10305,,Official data
QC,Crops,114,Kenya,5312,Area harvested,572,Avocados,2017,2017,ha,16460,,Official data
QC,Crops,114,Kenya,5312,Area harvested,572,Avocados,2018,2018,ha,14497,,Official data
QC,Crops,114,Kenya,5312,Area harvested,572,Avocados,2019,2019,ha,23298,,Official data
QC,Crops,114,Kenya,5419,Yield,572,Avocados,2016,2016,hg/ha,170835,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,572,Avocados,2017,2017,hg/ha,132253,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,572,Avocados,2018,2018,hg/ha,161366,Fc,Calculated data
